================================================================================
Tribomessung1
================================================================================

Tribometer module /  Version a.b.Q

________________________________________________________________________________

Standard parameters
________________________________________________________________________________

Instrument
- Standard tribometer
- Serial number: 0000-0000-0000-0000
- Tribometer module /  Version a.b.Q
- Date of measurement: 01.01.1111 11:11:11

Static partner
- Substrate: 100Cr6
- Cleaning: Ethanol
- Dimension: 6,00 [mm]
- Geometry: Ball

Sample
- Substrate: 100Cr6
- Cleaning: Ethanol

Environment
- Automatic start 200,0 [°C]
- Temperature: 25,00 [°C]
- Atmosphere: Luft
- Humidity: 20,00 [%]

Sequence
- Sequence count: 1
- Single-way mode
- Radius: 10,00 [mm]
- Lin. Speed: 40,00 [cm/s]
- Acquisition rate: 1,0 [Hz]
- Cycles sampled: 1/1
- Pause: 0 [s]
- Homing at begin: No
- Normal load: 5,00 [N]
- Unload at end: No
- Stop condit.: 10000,0 [lap]
- Effective Stop: laps


Start 	min 	max 	mean 	std. dev.
0,0433233715593815	0,0433233715593815	0,0924939960241318	0,0901110097765923	0,00247874390333891

------------------------------------
Raw Data
------------------------------------
Time [s]	Distance [m]	laps	Sequence ID	Cycle ID	Max linear speed [cm/s]	Nominal Load [N]	µ	Normal force [N]
10,00012	0,062831856310368	1,000	1	0	39,999998509883847	5,000000000000000	0,043009635061026	5,000000000000000
11,00025	0,376991152763367	6,000	1	0	39,999998509883847	5,000000000000000	0,092937007546425	5,000000000000000
12,00037	0,816814124584198	13,000	1	0	39,999998509883847	5,000000000000000	0,091982379555702	5,000000000000000
13,00050	1,193805336952209	19,000	1	0	39,999998509883847	5,000000000000000	0,091530114412308	5,000000000000000
14,00062	1,570796489715576	25,000	1	0	39,999998509883847	5,000000000000000	0,091730013489723	5,000000000000000
15,00075	1,947787642478943	31,000	1	0	39,999998509883847	5,000000000000000	0,091615363955498	5,000000000000000
16,00088	2,387610673904419	38,000	1	0	39,999998509883847	5,000000000000000	0,091494664549828	5,000000000000000
17,00100	2,764601707458496	44,000	1	0	39,999998509883847	5,000000000000000	0,091753222048283	5,000000000000000
18,00113	3,141592979431152	50,000	1	0	39,999998509883847	5,000000000000000	0,091705389320850	5,000000000000000
19,00125	3,581415891647339	57,000	1	0	39,999998509883847	5,000000000000000	0,091576941311359	5,000000000000000
20,00138	3,958406925201416	63,000	1	0	39,999998509883847	5,000000000000000	0,091717496514320	5,000000000000000
21,00150	4,335398197174072	69,000	1	0	39,999998509883847	5,000000000000000	0,091744020581245	5,000000000000000
22,00163	4,775221347808838	76,000	1	0	39,999998509883847	5,000000000000000	0,091597832739353	5,000000000000000
23,00175	5,152212142944336	82,000	1	0	39,999998509883847	5,000000000000000	0,091711089015007	5,000000000000000
24,00187	5,529203414916992	88,000	1	0	39,999998509883847	5,000000000000000	0,091721914708614	5,000000000000000
25,00200	5,969026565551758	95,000	1	0	39,999998509883847	5,000000000000000	0,091672286391258	5,000000000000000
26,00212	6,346017837524414	101,000	1	0	39,999998509883847	5,000000000000000	0,091640286147594	5,000000000000000
27,00225	6,723008632659912	107,000	1	0	39,999998509883847	5,000000000000000	0,091695524752140	5,000000000000000
28,00237	7,162831783294678	114,000	1	0	39,999998509883847	5,000000000000000	0,091685026884079	5,000000000000000
29,00250	7,539823055267334	120,000	1	0	39,999998509883847	5,000000000000000	0,091568008065224	5,000000000000000
30,00262	7,916813850402832	126,000	1	0	39,999998509883847	5,000000000000000	0,091751217842102	5,000000000000000
31,00275	8,293805122375488	132,000	1	0	39,999998509883847	5,000000000000000	0,091651655733585	5,000000000000000
32,00288	8,733628273010254	139,000	1	0	39,999998509883847	5,000000000000000	0,091532193124294	5,000000000000000
33,00300	9,110619544982910	145,000	1	0	39,999998509883847	5,000000000000000	0,091629907488823	5,000000000000000
34,00312	9,487610816955566	151,000	1	0	39,999998509883847	5,000000000000000	0,091652974486351	5,000000000000000
35,00325	9,927433013916016	158,000	1	0	39,999998509883847	5,000000000000000	0,091553293168545	5,000000000000000
36,00338	10,304424285888672	164,000	1	0	39,999998509883847	5,000000000000000	0,091545850038528	5,000000000000000
37,00350	10,681415557861328	170,000	1	0	39,999998509883847	5,000000000000000	0,091624751687050	5,000000000000000
38,00362	11,121238708496094	177,000	1	0	39,999998509883847	5,000000000000000	0,091557919979095	5,000000000000000
39,00375	11,498229980468750	183,000	1	0	39,999998509883847	5,000000000000000	0,091508165001869	5,000000000000000
40,00388	11,875221252441406	189,000	1	0	39,999998509883847	5,000000000000000	0,091570466756821	5,000000000000000
41,00400	12,315044403076172	196,000	1	0	39,999998509883847	5,000000000000000	0,091494701802731	5,000000000000000
42,00412	12,692035675048828	202,000	1	0	39,999998509883847	5,000000000000000	0,091546081006527	5,000000000000000
43,00425	13,069025993347168	208,000	1	0	39,999998509883847	5,000000000000000	0,091530486941338	5,000000000000000
44,00438	13,508849143981934	215,000	1	0	39,999998509883847	5,000000000000000	0,091572366654873	5,000000000000000
45,00450	13,885840415954590	221,000	1	0	39,999998509883847	5,000000000000000	0,091483958065510	5,000000000000000
46,00462	14,262831687927246	227,000	1	0	39,999998509883847	5,000000000000000	0,091535918414593	5,000000000000000
47,00475	14,702654838562012	234,000	1	0	39,999998509883847	5,000000000000000	0,091516822576523	5,000000000000000
48,00488	15,079646110534668	240,000	1	0	39,999998509883847	5,000000000000000	0,091580569744110	5,000000000000000
49,00500	15,456637382507324	246,000	1	0	39,999998509883847	5,000000000000000	0,091446369886398	5,000000000000000
50,00512	15,896459579467773	253,000	1	0	39,999998509883847	5,000000000000000	0,091507300734520	5,000000000000000
51,00525	16,273450851440430	259,000	1	0	39,999998509883847	5,000000000000000	0,091430619359016	5,000000000000000
52,00537	16,650442123413086	265,000	1	0	39,999998509883847	5,000000000000000	0,091522470116615	5,000000000000000
53,00550	17,090265274047852	272,000	1	0	39,999998509883847	5,000000000000000	0,091373570263386	5,000000000000000
54,00563	17,467256546020508	278,000	1	0	39,999998509883847	5,000000000000000	0,091410808265209	5,000000000000000
55,00575	17,844247817993164	284,000	1	0	39,999998509883847	5,000000000000000	0,091478630900383	5,000000000000000
56,00587	18,284070968627930	291,000	1	0	39,999998509883847	5,000000000000000	0,091259904205799	5,000000000000000
57,00600	18,661062240600586	297,000	1	0	39,999998509883847	5,000000000000000	0,091477818787098	5,000000000000000
58,00613	19,100885391235352	304,000	1	0	39,999998509883847	5,000000000000000	0,091348655521870	5,000000000000000
59,00625	19,477876663208008	310,000	1	0	39,999998509883847	5,000000000000000	0,091318085789680	5,000000000000000
60,00637	19,854866027832031	316,000	1	0	39,999998509883847	5,000000000000000	0,091404214501381	5,000000000000000
61,00650	20,294689178466797	323,000	1	0	39,999998509883847	5,000000000000000	0,091348260641098	5,000000000000000
62,00663	20,671680450439453	329,000	1	0	39,999998509883847	5,000000000000000	0,091362908482552	5,000000000000000
63,00675	21,048671722412109	335,000	1	0	39,999998509883847	5,000000000000000	0,091415330767632	5,000000000000000
64,00687	21,488494873046875	342,000	1	0	39,999998509883847	5,000000000000000	0,091344907879829	5,000000000000000
65,00700	21,865486145019531	348,000	1	0	39,999998509883847	5,000000000000000	0,091364964842796	5,000000000000000
66,00713	22,242477416992188	354,000	1	0	39,999998509883847	5,000000000000000	0,091450035572052	5,000000000000000
67,00725	22,682300567626953	361,000	1	0	39,999998509883847	5,000000000000000	0,091228850185871	5,000000000000000
68,00738	23,059291839599609	367,000	1	0	39,999998509883847	5,000000000000000	0,091404832899570	5,000000000000000
69,00750	23,499114990234375	374,000	1	0	39,999998509883847	5,000000000000000	0,091268390417099	5,000000000000000
70,00762	23,876106262207031	380,000	1	0	39,999998509883847	5,000000000000000	0,091190651059151	5,000000000000000
71,00775	24,253097534179688	386,000	1	0	39,999998509883847	5,000000000000000	0,091329351067543	5,000000000000000
72,00787	24,692920684814453	393,000	1	0	39,999998509883847	5,000000000000000	0,091300256550312	5,000000000000000
73,00800	25,069911956787109	399,000	1	0	39,999998509883847	5,000000000000000	0,091277159750462	5,000000000000000
74,00813	25,446903228759766	405,000	1	0	39,999998509883847	5,000000000000000	0,091355495154858	5,000000000000000
75,00825	25,886724472045898	412,000	1	0	39,999998509883847	5,000000000000000	0,091184049844742	5,000000000000000
76,00838	26,263715744018555	418,000	1	0	39,999998509883847	5,000000000000000	0,091343432664871	5,000000000000000
77,00850	26,703538894653320	425,000	1	0	39,999998509883847	5,000000000000000	0,091220393776894	5,000000000000000
78,00862	27,080530166625977	431,000	1	0	39,999998509883847	5,000000000000000	0,091205492615700	5,000000000000000
79,00875	27,457521438598633	437,000	1	0	39,999998509883847	5,000000000000000	0,091362960636616	5,000000000000000
80,00887	27,897344589233398	444,000	1	0	39,999998509883847	5,000000000000000	0,091235324740410	5,000000000000000
81,00900	28,274335861206055	450,000	1	0	39,999998509883847	5,000000000000000	0,091306537389755	5,000000000000000
82,00912	28,651327133178711	456,000	1	0	39,999998509883847	5,000000000000000	0,091294214129448	5,000000000000000
83,00925	29,091150283813477	463,000	1	0	39,999998509883847	5,000000000000000	0,091101363301277	5,000000000000000
