1235.924	10429
1238.469	10232
1241.012	10339
1243.555	10430
1246.096	10425
1248.637	10432
1251.178	10474
1253.717	10459
1256.256	10489
1258.794	10454
1261.331	10444
1263.867	10569
1266.403	10650
1268.937	10593
1271.471	10688
1274.005	10807
1276.537	10861
1279.069	11057
1281.600	11176
1284.130	11326
1286.659	11312
1289.188	11520
1291.716	11539
1294.243	11587
1296.769	11807
1299.295	11972
1301.819	12062
1304.343	12116
1306.866	12206
1309.389	12074
1311.911	12166
1314.431	12106
1316.952	11944
1319.471	12124
1321.990	11987
1324.507	12000
1327.024	12042
1329.541	11785
1332.056	11821
1334.571	11813
1337.085	11756
1339.598	11769
1342.111	11703
1344.622	11747
1347.133	11629
1349.643	11692
1352.153	11684
1354.661	11536
1357.169	11540
1359.676	11492
1362.183	11540
1364.688	11673
1367.193	11637
1369.697	11610
1372.200	11450
1374.703	11791
1377.205	11793
1379.706	11813
1382.206	11947
1384.705	11944
1387.204	12026
1389.702	12128
1392.199	12177
1394.696	12200
1397.192	12325
1399.686	12288
1402.181	12470
1404.674	12415
1407.167	12550
1409.659	12574
1412.150	12651
1414.640	12561
1417.130	12681
1419.619	12610
1422.107	12673
1424.594	12569
1427.081	12566
1429.567	12581
1432.052	12545
1434.536	12561
1437.020	12581
1439.503	12573
1441.985	12610
1444.466	12399
1446.947	12577
1449.427	12597
1451.906	12565
1454.384	12512
1456.862	12549
1459.339	12662
1461.815	12730
1464.290	12619
1466.765	12768
1469.238	12839
1471.712	12916
1474.184	12958
1476.656	12891
1479.126	12920
1481.597	13077
1484.066	13233
1486.535	13113
1489.002	13089
1491.470	13123
1493.936	13246
1496.402	13089
1498.867	13066
1501.331	13029
1503.794	13011
1506.257	12947
1508.719	13042
1511.180	12924
1513.640	12948
1516.100	12950
1518.559	12992
1521.017	13027
1523.475	12822
1525.932	13005
1528.388	12961
1530.843	12925
1533.297	13053
1535.751	12882
1538.204	12890
1540.657	12777
1543.108	12969
1545.559	12950
1548.009	12933
1550.458	12910
1552.907	12764
1555.355	12652
1557.802	12783
1560.249	12608
1562.694	12342
1565.139	12351
1567.583	12200
1570.027	12165
1572.470	12309
1574.912	12028
1577.353	12007
1579.793	12053
1582.233	11824
1584.672	11974
1587.111	11820
1589.548	11773
1591.985	11755
1594.421	11765
1596.857	11635
1599.291	11690
1601.725	11666
1604.159	11469
1606.591	11468
1609.023	11593
1611.454	11411
1613.884	11317
1616.314	11341
1618.743	11202
